train_snr,test_snr,mse,psnr
1.0,0.0,235.19842841796876,24.843621829223633
1.0,1.0,205.83426999511718,25.43462357788086
1.0,2.0,183.66494050292968,25.94543249511719
1.0,3.0,166.81930361328125,26.378968829345702
1.0,4.0,153.866207421875,26.748149255371093
1.0,5.0,143.72203669433594,27.06157117919922
1.0,6.0,135.85116958007814,27.322621588134766
1.0,7.0,129.60714443359376,27.54212348022461
1.0,8.0,124.73317744140626,27.721454321289063
1.0,9.0,120.862375390625,27.870713876342773
1.0,10.0,117.8026033203125,27.992308438110353
1.0,11.0,115.40176005859375,28.090355242919923
1.0,12.0,113.47041188964843,28.17102371826172
1.0,13.0,111.94673037109375,28.235378051757813
1.0,14.0,110.74421013183594,28.287289624023437
1.0,15.0,109.77883330078124,28.329612780761718
1.0,16.0,109.02214652099609,28.362968408203123
1.0,17.0,108.42496105957031,28.38944926147461
1.0,18.0,107.94442950439453,28.410940240478517
1.0,19.0,107.56599189453125,28.42804926147461
1.0,20.0,107.2628810546875,28.441749731445313
4.0,0.0,274.42637744140626,24.112152575683595
4.0,1.0,232.76693466796874,24.840769073486328
4.0,2.0,200.44204057617188,25.50730309448242
4.0,3.0,174.96802736816406,26.11610690917969
4.0,4.0,154.81142250976563,26.66659829711914
4.0,5.0,139.09762114257813,27.15292828063965
4.0,6.0,126.6102212890625,27.582706506347655
4.0,7.0,116.74106091308593,27.956433850097657
4.0,8.0,108.99107485351563,28.27626279296875
4.0,9.0,102.84393291015625,28.549046752929687
4.0,10.0,97.97094381103516,28.778488040161132
4.0,11.0,94.11482746582031,28.96992003173828
4.0,12.0,91.05424621582031,29.128891766357423
4.0,13.0,88.6249255493164,29.259762301635742
4.0,14.0,86.6997154296875,29.36611337890625
4.0,15.0,85.17520659179688,29.452707720947267
4.0,16.0,83.95768392333984,29.523180349731444
4.0,17.0,82.9997537109375,29.579814117431642
4.0,18.0,82.24349217529297,29.624969375610352
4.0,19.0,81.63066481933593,29.661689501953123
4.0,20.0,81.14738040771485,29.69135791015625
7.0,0.0,308.44315615234376,23.55674883117676
7.0,1.0,257.84308051757813,24.347105883789062
7.0,2.0,217.74886989746093,25.094721405029297
7.0,3.0,186.2211599609375,25.791372897338867
7.0,4.0,161.13936801757814,26.439270358276367
7.0,5.0,141.21732036132812,27.034597143554688
7.0,6.0,125.47298256835937,27.571907611083983
7.0,7.0,112.98691384277343,28.053172833251953
7.0,8.0,103.03867152099609,28.481635540771485
7.0,9.0,95.1534037109375,28.854642114257814
7.0,10.0,88.8804101196289,29.17767756652832
7.0,11.0,83.920474609375,29.45329132080078
7.0,12.0,79.99850166015625,29.68474926147461
7.0,13.0,76.86479995117188,29.880601626586913
7.0,14.0,74.38330373535156,30.042868017578126
7.0,15.0,72.3986365966797,30.177071307373048
7.0,16.0,70.83390251464844,30.28657890625
7.0,17.0,69.59385645751954,30.37556125793457
7.0,18.0,68.61318383789063,30.447550982666016
7.0,19.0,67.82987468261719,30.505989541625976
7.0,20.0,67.20082731933594,30.55381522216797
13.0,0.0,367.6538958496094,22.669138357543947
13.0,1.0,303.21900107421874,23.51823346862793
13.0,2.0,251.777269140625,24.337773513793945
13.0,3.0,211.10039135742187,25.119879824829102
13.0,4.0,178.67224475097657,25.863586325073243
13.0,5.0,152.89733461914062,26.562461950683595
13.0,6.0,132.504080859375,27.210581130981446
13.0,7.0,116.22198486328125,27.809895208740233
13.0,8.0,103.2901749633789,28.35507680358887
13.0,9.0,93.0483095703125,28.843383779907228
13.0,10.0,84.87784564208984,29.2789188079834
13.0,11.0,78.43000166015625,29.66045463256836
13.0,12.0,73.26581047363281,29.993239697265626
13.0,13.0,69.17792641601562,30.277675619506837
13.0,14.0,65.94763439941406,30.51858754272461
13.0,15.0,63.36296383056641,30.72212770385742
13.0,16.0,61.32229718017578,30.891564111328126
13.0,17.0,59.701016583251956,31.030853186035156
13.0,18.0,58.40905512695313,31.146571047973634
13.0,19.0,57.37847710571289,31.240395166015624
13.0,20.0,56.566343005371095,31.316697174072267
19.0,0.0,502.0330168945313,21.18829197998047
19.0,1.0,408.11531850585936,22.094250411987304
19.0,2.0,334.0842919921875,22.971689013671874
19.0,3.0,275.5390359375,23.819196353149415
19.0,4.0,228.70678032226562,24.64165559692383
19.0,5.0,191.55844040527344,25.427676416015625
19.0,6.0,162.30238359375,26.169041064453126
19.0,7.0,138.94571376953124,26.869199670410158
19.0,8.0,120.41257482910156,27.521349560546874
19.0,9.0,105.67951279296875,28.12332176208496
19.0,10.0,94.01084764404297,28.67169494934082
19.0,11.0,84.73888747558594,29.16567139892578
19.0,12.0,77.3980255493164,29.60627975463867
19.0,13.0,71.52623544921875,29.996603048706056
19.0,14.0,66.89554797363282,30.33491561279297
19.0,15.0,63.199429479980466,30.62849796447754
19.0,16.0,60.26895350341797,30.878329443359377
19.0,17.0,57.952462145996094,31.08903031921387
19.0,18.0,56.1022974609375,31.26686767578125
19.0,19.0,54.63613282470703,31.414599890136717
19.0,20.0,53.47049442138672,31.536643063354493
